229,16253,Val Brembilla - Biblioteca Comunale,VAL BREMBILLA,BG,24012,VIA D. P. RIZZI ,106,19477,36275.03,45.81899074,9.59839126,0101000020E610000010D3D756603223406F0346B0D4E84640
233,16171,Pontida - Biblioteca Comunale,PONTIDA,BG,24030,VIA LEGA LOMBARDA 30,120,13018,35994,45.7323373,9.50136243,0101000020E610000010969093B20023400A92883ABDDD4640
238,16177,Pumenengo - Biblioteca Civica Aldo Moro,PUMENENGO,BG,24050,PIAZZA CASTELLO BARBA ,110,4126,10067.47,45.48018405,9.87136151,0101000020E6100000E8E2881823BE2340C967C3AB76BD4640
248,16030,Bonate Sopra - Biblioteca Comunale,BONATE SOPRA,BG,24040,PIAZZA VITTORIO EMANUELE II 23,240,21452,210436.81,45.69556,9.5590629,0101000020E610000058D00F7E3D1E2340F0332E1C08D94640
251,16115,Gorle - Biblioteca Comunale,GORLE,BG,24020,VIA GUGLIELMO MARCONI 5,240,21102,68276.83,45.70332425,9.71881195,0101000020E6100000AE72B21E08702340EB1D6E8706DA4640
259,16224,Valbrembo - Biblioteca Comunale,VALBREMBO,BG,24030,VIA DON LORENZO MILANI ,450,17899,43024.34,45.717852,9.6070492,0101000020E61000003D201A27CF36234021AF0793E2DB4640
261,16073,Chiuduno - Biblioteca Comunale,CHIUDUNO,BG,24060,VIA PARCO RIMEMBRANZE 6,913,23295,61095.77,45.65197189,9.85433548,0101000020E61000002ED3C4756BB523400CBB9CD073D34640
267,16205,Spinone al Lago - Biblioteca Comunale,SPINONE AL LAGO,BG,24060,VIA ALLA FONTE ,140,4571,8837.3,45.76434202,9.91885121,0101000020E610000018AE71AA73D62340E66D95F5D5E14640
278,16004,Albino - Biblioteca Comunale,ALBINO,BG,24021,VIA GIUSEPPE MAZZINI 68,2146,95030,320131.52,45.75920413,9.79518043,0101000020E6100000D789AAE32197234048ABD6992DE14640
279,16239,Villa d'Almè - Biblioteca Civica,VILLA D'ALME,BG,24018,VIA LOCATELLI MILESI 16,167,18134,56427.52,45.74617167,9.61530067,0101000020E6100000BAB67DB0083B234005EDA38D82DF4640
283,16214,Torre Boldone - Biblioteca Comunale,TORRE BOLDONE,BG,24020,VIA REICH 2,814,45082,148322.95,45.7162036,9.70649266,0101000020E6100000CB20EB67B969234084A33F8FACDB4640
286,16128,Lovere - Biblioteca dell'Istituto di Istruzione Superiore Decio Celeri,LOVERE,BG,24065,VIA NAZARIO SAURO 2,70,11366,1530,45.81334103,10.07033458,0101000020E61000007CC1E1E402242440272C128F1BE84640
290,16190,San Pellegrino Terme - Biblioteca Comunale,SAN PELLEGRINO TERME,BG,24016,VIA SAN CARLO 32,214,23269,69212.8,45.83739724,9.66359472,0101000020E61000008565E8AFC2532340C4C72FD52FEB4640
291,16105,Fornovo San Giovanni - Biblioteca Comunale,FORNOVO SAN GIOVANNI,BG,24040,VIA GIUSEPPE GARIBALDI 10,236,6925,13084.27,45.4963669,9.67779408,0101000020E6100000790B5ED3075B2340902859F388BF4640
292,16119,Grone - Biblioteca comunale,GRONE,BG,24060,VIA DE GASPERI 4,580,3020,22770.23,45.72706566,9.91227549,0101000020E610000019FCE4C515D3234051DFCF7C10DD4640
313,16024,Bergamo - Biblioteca della Montagna del Club Alpino Italiano,BERGAMO,BG,24123,VIA PIZZO DELLA PRESOLANA 15,200,18645,2048,45.69736142,9.69859942,0101000020E610000024CFBBD2AE6523403132962343D94640
315,16020,Bariano - Biblioteca Comunale,BARIANO,BG,24050,VIA DELLA MISERICORDIA ,349,10866,34673.6,45.51118919,9.7042608,0101000020E6100000A8B51FDF94682340338FBAA56EC14640
320,16154,Pagazzano - Biblioteca Comunale,PAGAZZANO,BG,24040,VIA CASTELLO 1,189,5540,22791.88,45.53259414,9.67139974,0101000020E610000091AFEBB4C1572340AEAB760B2CC44640
322,16196,Sedrina - Biblioteca Comunale,SEDRINA,BG,24010,VIA LEGA LOMBARDA 7,273,17960,43554.72,45.78081567,9.62387701,0101000020E61000003F5AB5CE6C3F23405B6D93C4F1E34640
335,16209,Suisio - Biblioteca Comunale,SUISIO,BG,24040,VIA ALESSANDRO MANZONI SN ,274,16385,45847.42,45.65401135,9.5025996,0101000020E610000022F719BC540123403DBBD7A4B6D34640
339,16159,Parzanica - Biblioteca Comunale,PARZANICA,BG,24060,VIA CHIESA 1,396,1205,3730.69,45.73752509,10.03439534,0101000020E61000009EDE18449C112440C5C3DE3867DE4640
341,16029,Boltiere - Biblioteca Comunale,BOLTIERE,BG,24040,VIA DON G. CARMINATI 2,170,20560,55398.2,45.59955135,9.57828991,0101000020E6100000131D769D15282340E6424019BECC4640
347,16068,Cenate Sopra - Biblioteca Comunale,CENATE SOPRA,BG,24060,VIA PADRE PAOLO BELOTTI 5,128,10368,33777.1,45.71274713,9.8226438,0101000020E6100000AB83729131A523407CD5464C3BDB4640
350,16120,Grumello del Monte - Biblioteca Comunale,GRUMELLO DEL MONTE,BG,24064,VIA SAN NICOLA 2,1200,19587,80606.79,45.636718,9.8717128,0101000020E61000005902DF2351BE23402463B5F97FD14640
352,16125,Lenna - Biblioteca Comunale,LENNA,BG,24010,VIA SAN ROCCO 3,77,7769,11593.71,45.94429928,9.67871564,0101000020E6100000DC2ACA9D805B2340419E7ECCDEF84640
354,16183,Romano di Lombardia - Biblioteca Comunale,ROMANO DI LOMBARDIA,BG,24058,PIAZZA XXIV MAGGIO 1,542,60473,103601.48,45.51960089,9.7538194,0101000020E6100000412ECC9DF4812340E1C22E4882C24640
368,16058,Casazza - Biblioteca Comunale,CASAZZA,BG,24060,PIAZZA DELLA  PIEVE 2,310,20472,59413,45.75197514,9.90718084,0101000020E610000033B7CE017AD023403EDAACB840E04640
369,16240,Villa di Serio - Biblioteca Comunale,VILLA DI SERIO,BG,24020,VIA PAPA GIOVANNI XXIII 60,420,29335,121625.93,45.72045533,9.73416566,0101000020E6100000AF17B78FE4772340194A58E137DC4640
378,16078,Colere - Biblioteca Comunale,COLERE,BG,24020,VIA TORTOLA 31,70,3048,2860,45.97416109,10.08307689,0101000020E6100000EF34DB0D892A2440F94A834FB1FC4640
386,16021,Barzana - Biblioteca Comunale,BARZANA,BG,24030,VIA GUGLIELMO MARCONI 9,90,8742,19889.08,45.73408868,9.56712034,0101000020E61000008F64E2985D2223405E7B2C9EF6DD4640
