codice_identificativo;codice_istat;denominazione;comune;prov;cap;Indirizzo;superficie;tot_consistenza_documenti;spese_tot;WGS84_Y;WGS84_X
42;16189;San Paolo d'Argon - Biblioteca Comunale Luigi Cortesi;SAN PAOLO D'ARGON;BG;24060;VIALE DELLA RIMEMBRANZA 41;923;18701;88037,26;45,69033931;9,80358134
43;98036;Marudo - Biblioteca Comunale;MARUDO;LO;26866;VIA GUGLIELMO MARCONI 9;60;3645;4871,73;45,25342579;9,37453593
44;12133;Varese - Biblioteca Rionale di San Fermo;VARESE;VA;21100;VIA E. MARZOLI 9;205;15289;39974,38;45,83117194;8,84593914
45;17169;Sale Marasino - Biblioteca Comunale;SALE MARASINO;BS;25057;VIA GIUSEPPE MAZZINI 71;170;14295;23773;45,71348409;10,1116819
46;12133;Varese - Biblioteca del Centro Servizi per il Volontariato;VARESE;VA;21100;VIA BRAMBILLA 15;90;1850;3727,89;45,8249256;8,81847119
47;97024;Colle Brianza - Biblioteca Teresa e Giovanni Argentini;COLLE BRIANZA;LC;23886;PIAZZA ROMA 4;70;6742;11226,54;45,76320148;9,36405874
48;16071;Cerete - Biblioteca Comunale;CERETE;BG;24020;VIA GIUSEPPE VERDI 1;100;10016;15652,59;45,86117386;9,99203674
49;17008;Azzano Mella - Biblioteca Comunale;AZZANO MELLA;BS;25020;VIA VITTORIO VENETO 2;45;8280;20747,88;45,45443771;10,11694855
50;20027;Gonzaga - Biblioteca Comunale;GONZAGA;MN;46023;VIALE FIERA MILLENARIA 64;380;31908;150982,85;44,94677938;10,82051367
51;16022;Bedulita - Biblioteca comunale;BEDULITA;BG;24030;VIA ROMA 46;70;3165;5288,37;45,79144574;9,55214213
52;98004;Borghetto Lodigiano - Biblioteca Comunale;BORGHETTO LODIGIANO;LO;26812;VIA GIUSEPPE GARIBALDI 102;280;8795;17364,99;45,21184879;9,49579294
53;14035;Madesimo - Biblioteca Comunale;MADESIMO;SO;23024;VIA ALLE SCUOLE 14;72;4792;16308;46,436818;9,3585763
54;15154;Nerviano - Biblioteca Comunale;NERVIANO;MI;20014;PIAZZA MANZONI 19;324;53253;166686,14;45,55383603;8,97137713
55;15103;Gaggiano - Biblioteca Comunale;GAGGIANO;MI;20083;PIAZZA SALVO D' ACQUISTO 18;364;12865;58265,6;;
56;98031;Lodi - Biblioteca Comunale;LODI;LO;26900;CORSO UMBERTO I 63;2539;123041;1234930,22;45,31567766;9,50479926
57;97026;Costa Masnaga - Biblioteca Comunale;COSTA MASNAGA;LC;23845;PIAZZA CONFALONIERI 4;944;28967;108900,94;45,76989697;9,27317741
58;16140;Morengo - Biblioteca Comunale;MORENGO;BG;24050;VIA SAN GIOVANNI BOSCO 1;121;6280;10016,92;45,53525558;9,70859023
59;12036;Casale Litta - Biblioteca Comunale;CASALE LITTA;VA;21020;VIA ROMA 6;20;36;2273,75;45,7681914;8,73709844
